FactorB0,nChromoSi_AWSoM,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StochasticExponent,rMinWaveReflection,PFSS,UseSurfaceWaveRefl,realization
0.71496,3.4784e18,518400.0,91830.0,0.27256,1.0214,1.0,1.0,6.0
1.0778400000000001,8.672e17,465600.0,225210.0,0.1228,1.1502,1.0,2.0,5.0
1.19448,2.9888e18,740800.0,295950.0,0.2884,1.1902,2.0,1.0,10.0
0.63288,1.7504e18,332800.0,65910.0,0.32824,1.145,1.0,1.0,10.0
1.00872,2.912e17,516800.0,69690.0,0.24280000000000002,1.167,1.0,1.0,10.0
0.76248,2.1056e18,963200.0,124230.0,0.32488000000000006,1.1842,1.0,2.0,8.0
0.5724,3.7952e18,886400.0,261390.0,0.19336000000000003,1.0882,1.0,1.0,5.0
1.9029600000000002,3.4688e18,300800.0,134490.0,0.18568,1.055,2.0,2.0,5.0
0.5421600000000001,2.8064e18,681600.0,109110.0,0.17416,1.0322,1.0,1.0,6.0
0.6804000000000001,4.832e18,748800.0,281370.0,0.29896,1.0934,1.0,1.0,8.0
0.6588,3.1232e18,1.032e6,146910.0,0.28168000000000004,1.0558,2.0,1.0,7.0
1.42344,1.8464000000000003e18,502400.0,246810.0,0.25768,1.151,1.0,1.0,2.0
1.026,3.7376e18,497600.0,220890.0,0.11368,1.0262,1.0,2.0,12.0
0.77976,6.56e17,633600.0,30270.0,0.12712,1.0786,2.0,1.0,6.0
0.67176,3.9584e18,584000.0,158790.0,0.25960000000000005,1.0338,1.0,2.0,3.0
0.8748,8.288e17,1.0288e6,68610.0,0.23032000000000002,1.0318,1.0,1.0,6.0
0.84456,4.4864e18,696000.0,194430.0,0.12424000000000002,1.0238,1.0,2.0,7.0
0.8229600000000001,2.8544e18,446400.0,282990.0,0.15112,1.095,1.0,2.0,7.0
1.52712,4.208e18,478400.0,96150.0,0.22168000000000002,1.1234,1.0,1.0,6.0
0.6372,6.752e17,1.0608e6,140430.0,0.17464000000000002,1.091,2.0,2.0,1.0
0.6458400000000001,2.2016e18,660800.0,184170.0,0.27544,1.175,1.0,2.0,11.0
