BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi
0.7035,441390.341117374,198105.08960879897
0.7057489131386145,361549.4771970658,225827.8170406021
0.7071466059001806,516544.55083540466,161158.16398853407
0.7116912629244183,487297.252122574,220742.93510399162
0.7270423635324369,477013.56337283575,145781.11127170833
0.7301133221197394,527586.9764273446,183807.67200333852
0.7328359278612504,421744.1915611876,207089.76551807614
0.7346852335217833,366268.27108554874,107683.52860024147
0.7446009818396176,393034.92947084375,230665.46400490717
0.7481463641688658,498444.8841804996,194924.16245453982
0.752378810212578,308994.1202003669,210455.50696296117
0.7533327871706776,538160.3819129474,129734.09184565468
0.758538027449543,413853.8620859301,142843.73096853954
0.7633427142971574,354261.46276014857,116201.2947741027
0.7684793124514653,512508.3292321217,213516.82718303188
0.7768154948875585,382631.5386206625,158182.81607891468
0.7796530338503928,343916.37286303705,218370.47152408643
0.7831540855026822,478941.0949532068,233162
0.7869508905431326,460071.2882610401,134994.78600034426
0.7904063485882938,364345.7341489794,184885.83121862615
0.7929423204057706,544610.995494839,149461.53861173172
0.7984547288366781,493112.8436273774,121702.5164132977
0.7996750512128286,320151.2664376421,201174.1334092528
0.8041801753990088,409487.09802597197,223050.06784363653
0.8103108415779154,532555.6100750391,108769.7384367743
0.8123694652696951,448606.12543071556,204486.54361302214
0.8246067645169646,351829.10562887305,232111.04472539772
0.8301086453447255,419345.8779249141,166007.29079744092
0.8356369722188777,468915.890410968,215909.43191419682
0.8386828382677433,548687,170952.28815835482
0.8406155966071187,370282.77755018533,146744.1965140269
0.8481776366783288,397096.4633318303,120292.42947153855
0.8511194478322756,529086.2381673732,140578.53414289348
0.8552857043854926,496143.5442716442,227248.1553894322
0.8588709286971064,357038.8343918555,173975.35799709012
0.8676737797594549,536280.2312767752,207702.87428014172
0.8712861960607224,389958.2408008492,196951.6940816442
0.8740496899457957,324059.2336920917,159473.94838042764
0.8796958184471286,348939.0834480715,128013.36463285802
0.8833985363098602,457029.72532131243,112397.55289491666
0.8847399770601025,305766.4875837273,220351.16889500397
0.8978706824848681,339129.65248807566,193543.53149434552
0.9003063325067661,425117.50007794175,132122.73056322904
0.9051641920037387,465777.5401598962,163954.1208639113
0.9096825826323641,436025.23088616214,229371.20040425262
0.9187854782786701,303554.82867225347,169426.22912596486
0.9237027178618112,444682.9397249433,181643.16191827026
0.928518418939127,404334.9439609778,153479.9365530589
0.9303270060162434,525941.3256089669,217979.96179935132
0.9326580918894737,331631.73294411966,118941.36567648171
0.9405016357505254,500641.82461266906,172866.52848191967
0.9447265016453115,379688.53135813336,139231.47334401705
0.9483464974695497,325818.87624989223,224009.07080786594
0.9550649941787588,547621.3210327469,211423.8885674287
0.9599470507500416,371885.11833173025,203433.93937846745
0.9648048542709753,472020.6021312111,189861.88437805395
0.9710071870011698,410990.8877813824,125810.369313366
0.9753878813254884,317919.4997558482,148407.44679694806
0.977985139253307,523187.0433129846,167343.7991672422
0.982709294423795,386533.7411339808,219387.55451014897
0.986880097695993,433674.59694080113,157308.8495725639
0.9914975525587664,541651.0243633902,186396.63621086773
0.9973283361347236,455442.6458533155,209115.13475879055
0.9994166198488404,336677.55053132714,165019.88882735086
1.0053228369796512,367475.79620555276,130476.64514262993
1.0087822562005466,488330.9708048557,151501.61945574678
1.0102497586449646,311083.52475694596,228380.17682227163
1.014880191957335,426928.44119328953,192570.75952103006
1.0222514600404857,514898.7439403308,135681.04529424757
1.0240874891070362,321916.033222504,180658.76448482045
1.0376049496569073,300475,199896.78228465357
1.0400208048662811,384575.32491242385,115106.94600679722
1.0420318275122091,494491.09725049103,182982.37557715888
1.0455853616005821,353180.5607403309,155739.6327002429
1.048670861739959,463766.5894654407,222118.00151438278
1.0552302561396893,326745.7250354383,132971.72601711832
1.0565406244051068,530995.6993000008,196315.28131276602
1.0611095501464163,475022.52688359714,159904.80865482276
1.0654869309464914,506418.45796296553,231307.13552817135
1.0681223412982956,546706.5800839141,138582.1695089406
1.0698504866339462,376767.46665673435,171716.52723878453
1.074625573850099,333762.6123829064,206520.44513311633
1.077042859894556,453361.29903788376,122762.99579073382
1.0812017894714439,398302.0338535656,226579.76320446839
1.0869855382847475,343177.24718901695,143677.46637133328
1.0907189326471318,480894.37332396,212334.24640494236
1.0951356075537781,391673.1927038375,161848.5075872039
1.103131732270381,407489.5063848103,198911.5219384181
1.105730467603436,504251.9466096633,147226.90712865023
1.1122483850190399,461062.33688527334,174525.21174291515
1.1143951277861912,359329.55278626154,214465.05396784522
1.1201557228063326,517960.3961708736,224500.60731082922
1.1232104365206115,373832.1747971966,124502.91978135257
1.131583093306674,416879.34304554324,179651.78708696316
1.1344843688467798,330007.45671939454,152699.6890423523
1.1408421553024213,400427.3473180029,141051.7194524829
1.1441400486174351,314135.9107359667,113380.61249382253
1.1453862846665757,430220.1583458429,217357.44548282278
1.1483430354527622,469942.8863034418,128959.36599276046
1.149597171296685,348065.4235247612,188534.27947173236
1.1540988120766826,501950.5668694725,205398.2747890412
1.1560595655259318,307211.64079272567,175972.3618204826
1.1576,440487.0193237986,149933.25779751304
