selected run IDs = 1-30
#START
ID        params
1	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=0.5576 	 PoyntingFluxPerBSi=6.758496e+05	 LperpTimesSqrtBSi=1.751030e+05 	  
2	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=0.5842 	 PoyntingFluxPerBSi=4.310494e+05	 LperpTimesSqrtBSi=9.080952e+04 	  
3	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=0.6339 	 PoyntingFluxPerBSi=8.238418e+05	 LperpTimesSqrtBSi=2.050712e+05 	  
4	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=0.6920 	 PoyntingFluxPerBSi=3.568648e+05	 LperpTimesSqrtBSi=1.523105e+05 	  
5	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=0.7309 	 PoyntingFluxPerBSi=5.017907e+05	 LperpTimesSqrtBSi=2.511712e+05 	  
6	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=0.7927 	 PoyntingFluxPerBSi=5.511202e+05	 LperpTimesSqrtBSi=4.966085e+04 	  
7	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=0.8188 	 PoyntingFluxPerBSi=7.460322e+05	 LperpTimesSqrtBSi=2.808033e+05 	  
8	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=0.8906 	 PoyntingFluxPerBSi=4.597486e+05	 LperpTimesSqrtBSi=1.685339e+05 	  
9	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=0.9415 	 PoyntingFluxPerBSi=7.881887e+05	 LperpTimesSqrtBSi=1.371305e+05 	  
10	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=0.9902 	 PoyntingFluxPerBSi=6.011183e+05	 LperpTimesSqrtBSi=2.170784e+05 	  
11	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=1.0425 	 PoyntingFluxPerBSi=6.608003e+05	 LperpTimesSqrtBSi=8.326099e+04 	  
12	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=1.1459 	 PoyntingFluxPerBSi=6.930572e+05	 LperpTimesSqrtBSi=2.587546e+05 	  
