selected run IDs = 1-100
#START
ID        params
1	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.1125 	 PoyntingFluxPerBSi=6.988978e+05	 LperpTimesSqrtBSi=2.754969e+05 	 realization=[2] 
2	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.5934 	 PoyntingFluxPerBSi=5.015898e+05	 LperpTimesSqrtBSi=2.117254e+05 	 realization=[8] 
3	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.6207 	 PoyntingFluxPerBSi=5.990832e+05	 LperpTimesSqrtBSi=1.598580e+05 	 realization=[10]
4	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.6549 	 PoyntingFluxPerBSi=4.783771e+05	 LperpTimesSqrtBSi=2.644431e+05 	 realization=[5] 
5	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.6822 	 PoyntingFluxPerBSi=5.781917e+05	 LperpTimesSqrtBSi=1.445529e+05 	 realization=[7] 
6	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.4032 	 PoyntingFluxPerBSi=5.155175e+05	 LperpTimesSqrtBSi=1.734626e+05 	 realization=[1] 
7	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.7164 	 PoyntingFluxPerBSi=6.315810e+05	 LperpTimesSqrtBSi=2.882511e+05 	 realization=[2] 
8	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.7232 	 PoyntingFluxPerBSi=3.182095e+05	 LperpTimesSqrtBSi=2.508386e+05 	 realization=[3] 
9	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.8598 	 PoyntingFluxPerBSi=5.526578e+05	 LperpTimesSqrtBSi=1.539060e+05 	 realization=[11]
10	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.7915 	 PoyntingFluxPerBSi=6.524724e+05	 LperpTimesSqrtBSi=1.828157e+05 	 realization=[1] 
11	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.8120 	 PoyntingFluxPerBSi=4.180241e+05	 LperpTimesSqrtBSi=1.989711e+05 	 realization=[4] 
