"","RelativeStrength","CmeRadius","DeltaOrientation","ApexCoeff","Helicity"
"1",1.8425,0.3475,31.05,0.993125,1
"2",1.0025,0.6975,10.35,0.876875,-1
"3",1.0775,0.3775,27.45,0.891875,-1
"4",1.7225,0.4225,5.84999999999999,1.128125,1
"5",1.0175,0.3725,-42.75,1.113125,1
"6",1.0325,0.6075,44.55,1.131875,-1
"7",0.7025,0.7775,-32.85,1.206875,1
"8",1.4075,0.3175,16.65,1.023125,-1
"9",0.5825,0.7825,40.05,1.090625,-1
"10",1.7825,0.6525,-40.95,1.240625,1
"11",0.8675,0.7875,-3.15,0.906875,1
"12",1.5425,0.3075,-23.85,1.045625,1
"13",1.9925,0.4475,-12.15,1.038125,1
"14",1.3925,0.4125,30.15,1.218125,-1
"15",1.9325,0.3425,7.65,1.236875,-1
"16",0.7625,0.5225,-24.75,0.918125,-1
"17",1.0625,0.6875,35.55,0.981875,1
"18",1.1075,0.6675,-30.15,1.056875,1
"19",0.6275,0.6125,-22.95,0.996875,1
"20",1.7525,0.5275,-10.35,1.191875,1
"21",0.9275,0.3375,-36.45,0.899375,1
"22",0.9725,0.5925,-27.45,1.158125,1
"23",1.8275,0.5725,-31.95,1.105625,1
"24",1.8125,0.4825,24.75,1.225625,1
"25",1.2725,0.4325,-22.05,1.244375,1
"26",1.6025,0.5325,37.35,0.895625,-1
"27",0.8975,0.4925,39.15,1.188125,1
"28",1.3325,0.7725,1.35,1.109375,1
"29",1.8875,0.7025,2.25,1.173125,-1
"30",0.7925,0.4425,22.05,1.101875,1
"31",1.6775,0.5575,-19.35,1.015625,1
"32",1.4675,0.7375,4.95,0.944375,1
"33",0.5975,0.4525,-26.55,1.124375,-1
"34",1.0475,0.4575,4.05,1.229375,-1
"35",1.3775,0.6175,12.15,1.199375,1
"36",1.3025,0.3875,-31.05,0.955625,-1
"37",1.4225,0.6275,-44.55,1.086875,1
"38",1.9775,0.5825,19.35,1.139375,1
"39",0.9425,0.7975,26.55,1.195625,-1
"40",1.2575,0.5875,-41.85,0.910625,-1
"41",1.9025,0.4975,-37.35,0.940625,1
"42",1.7675,0.7675,13.05,0.978125,-1
"43",1.7975,0.4725,-21.15,0.903125,-1
"44",0.7175,0.3625,36.45,1.041875,-1
"45",1.1675,0.3275,-39.15,1.214375,1
"46",1.1825,0.3025,38.25,0.966875,-1
"47",1.5875,0.3925,23.85,1.064375,-1
"48",0.6725,0.5025,8.55,1.150625,-1
"49",0.8075,0.4025,-14.85,1.011875,-1
"50",1.8575,0.6575,21.15,0.888125,1
"51",0.9125,0.5675,20.25,0.974375,-1
"52",1.4825,0.6775,25.65,1.120625,-1
"53",0.8225,0.5475,0.450000000000003,1.053125,1
"54",0.5675,0.3225,-18.45,0.948125,-1
"55",0.7325,0.6375,13.95,0.951875,1
"56",1.6625,0.7125,34.65,1.049375,-1
"57",0.7775,0.7525,-9.45,1.135625,1
"58",1.3625,0.4675,33.75,1.075625,1
"59",0.9575,0.7475,-20.25,0.959375,-1
"60",1.9175,0.6475,-8.55,1.060625,-1
"61",1.2425,0.3525,11.25,1.116875,-1
"62",0.5525,0.3825,3.15000000000001,1.071875,1
"63",1.6475,0.4375,-40.05,0.985625,-1
"64",1.5275,0.5125,18.45,0.989375,1
"65",1.5125,0.5525,42.75,1.165625,1
"66",1.6175,0.7625,29.25,1.180625,1
"67",1.6325,0.5975,-2.25,1.094375,-1
"68",1.2125,0.7925,-34.65,1.004375,-1
"69",1.4375,0.6425,40.95,1.000625,-1
"70",1.5725,0.6825,-28.35,0.933125,-1
"71",1.5575,0.7325,-5.85,1.248125,-1
"72",0.8525,0.7175,-43.65,1.034375,1
"73",1.7375,0.7225,-35.55,1.143125,-1
"74",1.1525,0.6225,-11.25,0.929375,1
"75",1.1975,0.5075,-15.75,1.083125,1
"76",0.6575,0.5625,-38.25,1.068125,-1
"77",1.9475,0.4075,15.75,0.925625,1
"78",1.3475,0.5175,-33.75,1.176875,-1
"79",0.6125,0.7075,17.55,1.233125,-1
"80",1.0925,0.3125,32.85,1.146875,1
"81",0.6875,0.6025,31.95,0.884375,-1
"82",0.5225,0.4875,28.35,1.019375,1
"83",0.6425,0.4275,41.85,0.936875,1
"84",1.8725,0.5425,9.45,1.008125,-1
"85",0.8375,0.6325,-16.65,1.221875,1
"86",1.1375,0.4775,-4.95,1.030625,-1
"87",1.3175,0.7275,22.95,0.921875,-1
"88",0.5375,0.5775,-13.05,1.169375,-1
"89",1.6925,0.3675,-29.25,1.203125,-1
"90",0.9875,0.4175,-1.35,0.963125,1
"91",0.5075,0.6925,-17.55,1.098125,1
"92",1.4975,0.3575,-13.95,0.914375,1
"93",1.2275,0.6725,-0.450000000000003,1.210625,-1
"94",0.7475,0.3325,-4.05,1.184375,-1
"95",1.2875,0.5375,-6.75,0.880625,1
"96",1.9625,0.7575,-25.65,1.026875,-1
"97",1.4525,0.3975,-7.65,1.154375,1
"98",1.1225,0.7425,14.85,1.161875,-1
"99",1.7075,0.4625,43.65,0.970625,1
"100",0.8825,0.6625,6.74999999999999,1.079375,-1
