"","RelativeStrength","CmeRadius","DeltaOrientation","ApexCoeff","Helicity"
"1",1.49375,0.51375,-24.525,0.9134375,1
"2",1.21625,0.44875,34.875,1.1553125,-1
"3",1.76375,0.59625,-16.875,1.0840625,1
"4",0.91625,0.61125,-30.825,1.0709375,1
"5",0.87875,0.48375,-37.575,1.1665625,1
"6",1.26125,0.40625,-21.825,1.1365625,1
"7",0.84875,0.55875,-35.325,0.9228125,-1
"8",0.93125,0.47375,42.975,1.1965625,-1
"9",1.64375,0.47875,-23.175,1.2453125,1
"10",1.86875,0.32875,-3.375,1.1290625,-1
"11",0.85625,0.66125,31.725,1.1309375,1
"12",0.77375,0.73625,-35.775,1.0221875,1
"13",1.56875,0.43875,-28.125,1.1909375,1
"14",0.65375,0.34875,17.775,0.8853125,-1
"15",1.95875,0.78375,-7.425,1.0934375,-1
"16",1.89875,0.62125,-36.225,1.2434375,-1
"17",1.90625,0.74375,-30.375,0.9209375,1
"18",1.92875,0.41875,-8.325,1.2359375,-1
"19",1.08125,0.38375,-27.225,0.9153125,-1
"20",1.35125,0.33625,-18.225,1.0990625,1
"21",0.68375,0.53375,33.525,0.9021875,1
"22",1.70375,0.30875,18.675,1.0371875,-1
"23",0.80375,0.31625,35.775,1.1084375,1
"24",1.30625,0.34375,-0.225000000000001,1.0146875,-1
"25",1.15625,0.33125,-38.475,0.9415625,1
"26",1.79375,0.30125,-21.375,0.9321875,-1
"27",1.06625,0.35875,40.725,1.0296875,1
"28",0.69125,0.41125,-38.925,1.2378125,1
"29",1.46375,0.42125,-34.425,0.9584375,-1
"30",1.50125,0.67125,-32.625,1.0540625,1
"31",1.28375,0.58375,44.325,1.1234375,1
"32",1.71875,0.54375,33.075,1.1103125,1
"33",0.84125,0.78625,-14.175,0.9678125,-1
"34",0.57125,0.33375,-25.425,1.1515625,-1
"35",0.99125,0.77625,16.875,1.0090625,-1
"36",1.23875,0.64375,-7.875,1.1440625,-1
"37",1.18625,0.65125,-19.125,1.0278125,1
"38",1.31375,0.53625,-26.775,1.0428125,1
"39",1.05875,0.61375,-12.375,1.2471875,1
"40",0.51125,0.39375,15.075,1.2284375,-1
"41",1.75625,0.45625,-11.925,0.9903125,-1
"42",1.04375,0.50875,36.225,1.0671875,-1
"43",1.51625,0.72875,25.425,1.1534375,1
"44",1.14875,0.72125,15.975,1.1984375,-1
"45",1.87625,0.51125,38.475,1.1459375,1
"46",1.73375,0.71125,36.675,0.9115625,1
"47",1.16375,0.76625,-29.475,1.1271875,1
"48",1.36625,0.40375,-44.325,0.9846875,1
"49",0.57875,0.69375,33.975,1.2396875,1
"50",0.55625,0.67625,4.275,1.1628125,1
"51",1.27625,0.76125,21.825,1.2415625,-1
"52",1.62875,0.57375,-13.275,0.9396875,1
"53",0.98375,0.63625,-4.725,1.0559375,1
"54",1.19375,0.54625,-43.875,0.8946875,-1
"55",1.07375,0.74125,23.175,0.9996875,1
"56",1.88375,0.64125,-13.725,1.0165625,-1
"57",1.57625,0.65875,39.375,1.0128125,1
"58",0.76625,0.41625,42.075,0.9565625,1
"59",1.58375,0.31875,7.425,1.2003125,-1
"60",1.74125,0.37375,37.575,1.2040625,-1
"61",1.77125,0.77375,-24.975,1.0259375,-1
"62",1.95125,0.45875,-33.525,1.1253125,1
"63",1.86125,0.48125,-29.025,1.0653125,-1
"64",0.75875,0.30625,-33.075,1.1815625,-1
"65",0.66125,0.69875,-22.275,0.9828125,-1
"66",0.88625,0.57625,38.925,1.0896875,-1
"67",1.84625,0.55625,-11.025,1.1609375,1
"68",1.82375,0.79125,20.025,0.9378125,-1
"69",1.89125,0.40875,30.375,1.0596875,-1
"70",1.48625,0.59375,14.625,1.0240625,-1
"71",1.33625,0.38125,21.375,1.1796875,1
"72",1.68875,0.49125,15.525,0.9059375,-1
"73",1.54625,0.63125,0.674999999999997,0.9940625,-1
"74",1.62125,0.75875,26.775,0.8984375,-1
"75",1.80125,0.74625,31.275,1.2303125,1
"76",1.65125,0.37625,11.925,0.9284375,1
"77",0.75125,0.65625,19.125,1.0690625,-1
"78",0.72875,0.35625,5.625,1.1421875,1
"79",1.24625,0.34625,-39.825,1.1703125,-1
"80",1.01375,0.68375,-28.575,0.9621875,1
"81",1.23125,0.59125,0.224999999999994,0.8778125,1
"82",0.95375,0.39875,2.47499999999999,1.0053125,1
"83",1.44875,0.68125,41.175,1.2096875,1
"84",1.02875,0.57875,-20.925,1.0015625,-1
"85",1.38875,0.31375,-4.275,0.8909375,-1
"86",0.63125,0.37875,-31.275,0.9509375,1
"87",1.11875,0.61875,6.525,1.1140625,-1
"88",1.05125,0.42875,-36.675,1.0915625,1
"89",1.98875,0.46625,39.825,0.9696875,-1
"90",0.52625,0.56875,9.675,0.9921875,-1
"91",0.81875,0.48875,7.875,1.0578125,-1
"92",1.68125,0.65375,-5.625,0.9190625,1
"93",1.29875,0.67875,-23.625,1.1778125,-1
"94",0.61625,0.47125,-15.975,1.0203125,-1
"95",0.87125,0.43125,18.225,1.1384375,-1
"96",0.53375,0.32375,1.12499999999999,1.0634375,1
"97",1.09625,0.49625,-33.975,1.0071875,1
"98",0.56375,0.51625,26.325,1.1178125,-1
"99",1.37375,0.76875,-19.575,0.9471875,1
"100",0.93875,0.73875,4.725,1.2228125,-1
"101",0.96125,0.50125,-10.125,1.1065625,-1
"102",1.43375,0.46875,3.825,1.0503125,1
"103",0.51875,0.45375,37.125,1.0109375,1
"104",0.54875,0.42625,-20.025,0.9715625,1
"105",1.11125,0.46375,-2.925,1.1721875,1
"106",1.17125,0.70375,28.575,1.0859375,1
"107",1.78625,0.56125,6.975,0.8871875,1
"108",0.79625,0.75125,13.725,1.1478125,-1
"109",1.93625,0.76375,5.175,1.1759375,1
"110",0.82625,0.57125,-41.625,1.0484375,1
"111",1.25375,0.75375,6.075,0.9303125,1
"112",0.90125,0.52875,-20.475,1.2265625,1
"113",0.73625,0.49375,-42.525,0.9640625,-1
"114",0.59375,0.73375,-3.825,0.8890625,1
"115",1.47125,0.75625,-37.125,1.1871875,-1
"116",0.71375,0.52375,1.575,1.0315625,-1
"117",0.70625,0.63875,38.025,1.1740625,-1
"118",0.60875,0.40125,32.625,1.1684375,1
"119",1.10375,0.66375,-40.725,1.0821875,-1
"120",1.12625,0.38875,22.725,1.0465625,-1
"121",1.91375,0.36625,-16.425,0.8965625,1
"122",0.83375,0.50375,29.475,1.2340625,-1
"123",0.97625,0.32625,8.325,0.8759375,1
"124",1.85375,0.58875,-40.275,0.9096875,-1
"125",1.53125,0.53125,-9.675,0.9734375,1
"126",1.63625,0.78125,11.025,1.0615625,1
"127",1.17875,0.55375,40.275,1.1834375,-1
"128",1.61375,0.60625,35.325,1.1946875,1
"129",1.29125,0.43625,-15.075,0.9246875,-1
"130",1.59875,0.71875,3.375,0.9546875,1
"131",1.53875,0.56625,17.325,1.2171875,-1
"132",1.42625,0.30375,29.925,1.1403125,-1
"133",0.67625,0.72625,-44.775,1.1159375,-1
"134",0.86375,0.36375,-2.475,0.9809375,-1
